Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED188,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,611.75,18,90,top
LED189,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,768.75,9,90,top
LED190,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,768.75,18,90,top
LED191,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,925.75,9,90,top
LED192,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,925.75,18,90,top
LED193,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,149.25,9,90,top
LED194,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,149.25,18,90,top
LED195,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,306.25,9,90,top
LED196,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,306.25,18,90,top
LED197,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,463.25,9,90,top
LED198,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,463.25,18,90,top
LED199,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,620.25,9,90,top
LED200,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,620.25,18,90,top
LED201,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,777.25,9,90,top
LED202,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,777.25,18,90,top
LED203,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,934.25,9,90,top
LED204,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,934.25,18,90,top
LEDe,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,178.75,9,90,top
R1,5.6R,R_1206_3216Metric,165,9,90,top
R2,5.6R,R_1206_3216Metric,165,18,90,top
R3,5.6R,R_1206_3216Metric,322,9,90,top
R4,5.6R,R_1206_3216Metric,322,18,90,top
R5,5.6R,R_1206_3216Metric,479,9,90,top
R6,5.6R,R_1206_3216Metric,479,18,90,top
R7,5.6R,R_1206_3216Metric,636,9,90,top
R8,5.6R,R_1206_3216Metric,636,18,90,top
R9,5.6R,R_1206_3216Metric,793,9,90,top
R10,5.6R,R_1206_3216Metric,793,18,90,top
R11,5.6R,R_1206_3216Metric,950,9,90,top
R12,5.6R,R_1206_3216Metric,950,18,90,top
U1,NCR321ZX,NCR321ZX,159,9,180,top
U2,NCR321ZX,NCR321ZX,159,18,180,top
